task,project,sanitizer,crash_type,source_rev
assimp/arvo_59056,assimp,ASan,bad-free /src/llvm-project/compiler-rt/lib/asan/asan_new_delete.cpp:152:3 in operator delete(void*),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/oss-fuzz_417905428,assimp,ASan,heap-use-after-free /src/assimp/include/assimp/mesh.h:857:18 in aiMesh::~aiMesh(),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/oss-fuzz_42535201,assimp,ASan,"heap-buffer-overflow /src/assimp/code/AssetLib/MD3/MD3Loader.cpp:1037:53 in Assimp::MD3Importer::InternReadFile(std::__1::basic_string<char, std::__1::char_traits<char>, std::__1::allocator<char>> const&, aiScene*, Assimp::IOSystem*)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/oss-fuzz_428051724,assimp,ASan,"heap-buffer-overflow /src/assimp/code/AssetLib/MDL/HalfLife/HL1MDLLoader.cpp:234:21 in Assimp::MDL::HalfLife::HL1MDLLoader::validate_header(Assimp::MDL::HalfLife::Header_HL1 const*, bool)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/oss-fuzz_434376054,assimp,ASan,"heap-buffer-overflow /src/assimp/code/AssetLib/COB/COBLoader.cpp:361:64 in Assimp::COBImporter::BuildNodes(Assimp::COB::Node const&, Assimp::COB::Scene const&, aiScene*)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
assimp/oss-fuzz_447262177,assimp,ASan,SEGV /src/assimp/code/Material/MaterialSystem.cpp:447:34 in Clear,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
bind9/arvo_63186,bind9,UBSan,undefined-behavior qp.c:2000:6 in,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_18615,binutils,ASan,stack-buffer-overflow /src/llvm/projects/compiler-rt/lib/asan/asan_interceptors.cpp:483:5 in strncpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_19414,binutils,ASan,stack-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_19573,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/coff64-rs6000.c:1962:24 in xcoff64_slurp_armap,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_19702,binutils,UBSan,undefined-behavior crx-dis.c:108:15 in,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_19822,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/libbfd.c:683:24 in bfd_getb32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_19910,binutils,UBSan,undefined-behavior z8k-dis.c:220:17 in,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_20840,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/libbfd.c:548:11 in bfd_getl16,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_21011,binutils,ASan,double-free /src/llvm-project/compiler-rt/lib/asan/asan_malloc_linux.cpp:123:3 in free,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_21300,binutils,MSan,use-of-uninitialized-value /src/binutils-gdb/opcodes/metag-dis.c:3376:11 in print_insn_metag,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_21339,binutils,MSan,use-of-uninitialized-value /src/binutils-gdb/bfd/i386msdos.c:60:7 in msdos_object_p,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_23743,binutils,ASan,heap-use-after-free /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:372:5 in strlen,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_23778,binutils,MSan,use-of-uninitialized-value /src/binutils-gdb/bfd/peXXigen.c:1164:7 in _bfd_pei_slurp_codeview_record,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_24020,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/binutils/./readelf.h:8364:36 in slurp_hppa_unwind_table,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_25841,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/binutils/dwarf.c:347:28 in read_leb128,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_31961,binutils,ASan,global-buffer-overflow /src/binutils-gdb/opcodes/i386-dis.c:9786:33 in print_insn,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_40465,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/binutils/deflex.l:73:23 in yylex,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_40512,binutils,MSan,use-of-uninitialized-value /src/binutils-gdb/bfd/cache.c:386:12 in cache_bwrite,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_40544,binutils,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:1043:16 in fread,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_40618,binutils,ASan,dynamic-stack-buffer-overflow /src/binutils-gdb/bfd/bfd.c:1341:16 in error_handler_internal,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_40683,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/libbfd.c:727:23 in bfd_getl32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_42179,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/libbfd.c:870:11 in bfd_putl32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_42639,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/libbfd.c:730:24 in bfd_getl32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_43372,binutils,MSan,use-of-uninitialized-value /src/binutils-gdb/opcodes/i386-dis.c:13200:11 in OP_VEX,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_43434,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/vms-alpha.c:7393:42 in evax_bfd_print_dst,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_43545,binutils,ASan,SEGV (<unknown module>),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_43795,binutils,MSan,use-of-uninitialized-value /src/binutils-gdb/gas/macro.c:188:10 in buffer_and_nest,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_44864,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/vms-alpha.c:7424:9 in evax_bfd_print_dst,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_44953,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/som.c:5036:22 in som_set_reloc_info,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_46516,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/gas/sb.c:195:20 in sb_terminate,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_47101,binutils,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:26:3 in __asan_memset,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_47975,binutils,MSan,use-of-uninitialized-value /src/binutils-gdb/gas/input-file.c:176:9 in input_file_open,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_49801,binutils,ASan,"heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors_format.inc:553:9 in printf_common(void*, char const*, __va_list_tag*)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_50305,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/libbfd.c:714:23 in bfd_getb32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_51008,binutils,MSan,use-of-uninitialized-value /src/binutils-gdb/bfd/vms-alpha.c:1602:7 in dst_retrieve_location,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_51010,binutils,UBSan,undefined-behavior arm-dis.c:8960:27 in,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_51661,binutils,ASan,heap-use-after-free /src/binutils-gdb/bfd/opncls.c:844:9 in bfd_close_all_done,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_51799,binutils,ASan,SEGV /src/binutils-gdb/libiberty/./hashtab.c:703:59 in htab_find_slot,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_51845,binutils,ASan,SEGV /src/binutils-gdb/bfd/syms.c:1037:31 in _bfd_stab_section_find_nearest_line,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_52228,binutils,ASan,SEGV /src/binutils-gdb/binutils/./fuzz_objdump.h:4257:13 in reloc_at,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_52243,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/libbfd.c:727:23 in bfd_getl32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_53740,binutils,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:30:3 in __asan_memmove,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_54330,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/libbfd.c:729:24 in bfd_getl32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_54667,binutils,ASan,SEGV /src/binutils-gdb/bfd/vms-alpha.c:4581:48 in parse_module,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_55020,binutils,ASan,SEGV /src/binutils-gdb/bfd/libbfd.c:846:11 in bfd_putl32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_55587,binutils,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_55933,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/ecoff.c:946:30 in _bfd_ecoff_slurp_symbol_table,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_55985,binutils,ASan,SEGV (/lib/x86_64-linux-gnu/libc.so.6+0xbbc12) (BuildId: 87b331c034a6458c64ce09c03939e947212e18ce),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_56277,binutils,ASan,SEGV /src/llvm-project/compiler-rt/lib/asan/asan_mapping.h:377:21 in AddressIsPoisoned,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_56726,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/reloc16.c:319:28 in bfd_coff_reloc16_get_relocated_section_contents,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_56917,binutils,ASan,memcpy-param-overlap /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_57025,binutils,MSan,use-of-uninitialized-value /src/binutils-gdb/binutils/./fuzz_objdump.h:4395:7 in dump_dwarf_section,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_57570,binutils,ASan,"heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors_format.inc:553:9 in printf_common(void*, char const*, __va_list_tag*)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_57643,binutils,MSan,use-of-uninitialized-value /src/binutils-gdb/libiberty/./floatformat.c:504:7 in floatformat_to_double,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_57879,binutils,UBSan,undefined-behavior dwarf2.c:2232:7 in,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_58086,binutils,ASan,"heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors_format.inc:553:9 in printf_common(void*, char const*, __va_list_tag*)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_58283,binutils,ASan,SEGV /src/binutils-gdb/bfd/coffgen.c:783:43 in coff_mangle_symbols,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_59148,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/libbfd.c:838:18 in bfd_getl32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_59488,binutils,ASan,SEGV /src/binutils-gdb/binutils/./fuzz_nm.h:790:7 in filter_symbols,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_59591,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/ecoff.c:983:30 in _bfd_ecoff_slurp_symbol_table,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_60532,binutils,MSan,use-of-uninitialized-value /src/binutils-gdb/bfd/elf.c:1899:2 in offset_from_vma,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_61011,binutils,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:389:5 in strlen,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_61677,binutils,ASan,global-buffer-overflow /src/binutils-gdb/opcodes/kvx-dis.c:479:29 in kvx_reassemble_bundle,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_61778,binutils,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_61822,binutils,ASan,stack-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_62612,binutils,ASan,bad-free /src/llvm-project/compiler-rt/lib/asan/asan_malloc_linux.cpp:52:3 in free,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_62752,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/libbfd.c:751:11 in bfd_getl16,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_62986,binutils,ASan,heap-buffer-overflow /src/binutils-gdb/bfd/libbfd.c:751:11 in bfd_getl16,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_63196,binutils,ASan,bad-free /src/llvm-project/compiler-rt/lib/asan/asan_malloc_linux.cpp:52:3 in free,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/arvo_63742,binutils,MSan,SEGV /src/binutils-gdb/bfd/libbfd.c:845:7 in bfd_getl32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/oss-fuzz_408254000,binutils,unknown,unknown,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/oss-fuzz_410786957,binutils,unknown,unknown,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/oss-fuzz_439479327,binutils,unknown,unknown,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
binutils/oss-fuzz_449440793,binutils,unknown,unknown,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
boringssl/arvo_55556,boringssl,ASan,heap-use-after-free /src/boringssl/crypto/stack/stack.c:100:14 in sk_num,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
boringssl/arvo_9808,boringssl,ASan,"heap-buffer-overflow /src/boringssl/ssl/ssl_privkey.cc:614:29 in parse_sigalgs_list(bssl::Array<unsigned short>*, char const*)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
botan/arvo_10628,botan,ASan,"heap-buffer-overflow /src/botan/./src/fuzzer/mode_padding.cpp:63:10 in ref_oneandzero_unpad(unsigned char const*, unsigned long)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
botan/arvo_6581,botan,ASan,"heap-buffer-overflow /src/botan/src/lib/math/mp/mp_monty.cpp:62:17 in Botan::bigint_monty_redc(unsigned long*, unsigned long const*, unsigned long, unsigned long, unsigned long*, unsigned long)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
botan/arvo_6626,botan,MSan,"use-of-uninitialized-value /src/botan/build/include/botan/internal/mp_asmi.h:119:4 in Botan::word_add(unsigned long, unsigned long, unsigned long*)",b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_23717,c-blosc2,MSan,SEGV /src/c-blosc2/blosc/blosc-private.h:51:15 in sw32_,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_25704,c-blosc2,ASan,heap-buffer-overflow /src/c-blosc2/blosc/blosc-private.h:44:13 in sw32_,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_26171,c-blosc2,ASan,heap-buffer-overflow /src/c-blosc2/internal-complibs/zstd-1.4.5/decompress/../common/mem.h:224:78 in MEM_read32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_26406,c-blosc2,MSan,use-of-uninitialized-value /src/c-blosc2/internal-complibs/miniz-2.0.8/miniz.c:2801:13 in tinfl_decompress,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_26442,c-blosc2,ASan,heap-buffer-overflow /src/c-blosc2/blosc/blosc-private.h:68:23 in _sw32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_26755,c-blosc2,MSan,use-of-uninitialized-value /src/c-blosc2/internal-complibs/lizard-1.0/lizard_decompress_liz.h:166:81 in Lizard_decompress_LIZv1,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_27812,c-blosc2,ASan,SEGV /src/c-blosc2/blosc/frame.c:932:5 in frame_get_usermeta,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_27816,c-blosc2,unknown,unknown,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_27818,c-blosc2,ASan,heap-buffer-overflow /src/c-blosc2/internal-complibs/lizard-1.0/lizard_decompress_liz.h in Lizard_decompress_LIZv1,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_27934,c-blosc2,MSan,use-of-uninitialized-value /src/c-blosc2/internal-complibs/miniz-2.0.8/miniz.c:2801:13 in tinfl_decompress,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_29125,c-blosc2,MSan,use-of-uninitialized-value /src/c-blosc2/internal-complibs/zstd-1.4.8/decompress/zstd_decompress_block.c:1522:9 in ZSTD_checkContinuity,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_29171,c-blosc2,ASan,SEGV /src/c-blosc2/blosc/blosc-private.h:44:13 in sw32_,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_29976,c-blosc2,ASan,heap-buffer-overflow /src/c-blosc2/blosc/blosc2.c:2637:21 in blosc_getitem,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_30113,c-blosc2,UBSan,SEGV (/lib/x86_64-linux-gnu/libc.so.6+0x14e268),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_30748,c-blosc2,unknown,unknown,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_30868,c-blosc2,ASan,heap-buffer-overflow /src/c-blosc2/blosc/frame.c:1334:7 in get_vlmeta_from_trailer,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_30974,c-blosc2,ASan,SEGV /src/llvm-project/compiler-rt/lib/asan/asan_mapping.h:407:21 in AddressIsPoisoned,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_31038,c-blosc2,UBSan,SEGV (/lib/x86_64-linux-gnu/libc.so.6+0x14e268),b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_31120,c-blosc2,ASan,heap-use-after-free /src/c-blosc2/blosc/blosc-private.h:44:13 in sw32_,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_31705,c-blosc2,ASan,bad-free /src/llvm-project/compiler-rt/lib/asan/asan_malloc_linux.cpp:127:3 in free,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_33071,c-blosc2,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_33251,c-blosc2,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
c-blosc2/arvo_34259,c-blosc2,ASan,negative-size-param /src/llvm-project/compiler-rt/lib/asan/asan_interceptors_memintrinsics.cpp:22:3 in __asan_memcpy,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
capstone/arvo_13466,capstone,MSan,use-of-uninitialized-value /src/capstonenext/arch/X86/X86IntelInstPrinter.c:807:7 in printOperand,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
capstone/arvo_13467,capstone,MSan,use-of-uninitialized-value /src/capstonenext/arch/X86/X86IntelInstPrinter.c:730:24 in X86_Intel_printInst,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
capstone/arvo_14912,capstone,MSan,use-of-uninitialized-value /src/capstonenext/SStream.c:177:6 in printUInt32,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
capstone/arvo_58666,capstone,MSan,use-of-uninitialized-value /src/capstonenext/arch/PowerPC/PPCInstPrinter.c:83:6 in PPC_post_printer,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
clamav/arvo_23499,clamav,ASan,heap-buffer-overflow /src/llvm-project/compiler-rt/lib/asan/../sanitizer_common/sanitizer_common_interceptors.inc:5168:5 in iconv,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
cpython3/arvo_61721,cpython3,MSan,use-of-uninitialized-value /src/cpython3/Objects/funcobject.c:272:9 in _PyFunction_SetVersion,b46456c46838b2b090d7e6ded5bfdf1ff583dba7
